id,school,stratum,gender,age,bullied,escs,skip_sch,CM033Q01S,CM474Q01S,CM155Q01S,CM155Q04S,CM411Q01S,CM411Q02S,CM803Q01S,CM442Q02S,CM034Q01S,CM305Q01S,CM496Q01S,CM496Q02S,CM423Q01S,CM192Q01S,CM603Q01S,CM571Q01S,CM564Q01S,CM564Q02S,CM447Q01S,CM273Q01S,CM408Q01S,CM420Q01S,CM446Q01S,CM559Q01S,CM828Q03S,CM464Q01S,CM800Q01S,CM982Q01S,CM982Q02S,CM982Q03S,CM982Q04S,CM992Q01S,CM992Q02S,CM915Q01S,CM915Q02S,CM906Q01S,CM909Q01S,CM909Q02S,CM909Q03S,CM949Q01S,CM949Q02S,CM00GQ01S,CM955Q03S,CM905Q01S,CM919Q01S,CM919Q02S,CM954Q01S,CM954Q04S,CM943Q01S,CM943Q02S,CM953Q03S,CM948Q01S,CM948Q02S,CM948Q03S,CM936Q01S,CM939Q02S,CM967Q01S,CM967Q03S
9602609,9600002,BRN02,1,15.5,0.5504,0.0015,0,,,1,0,,,,,,,,,,,,,,,,1,,0,,,,0,,1,1,0,0,,,,,1,,,,,,,,,,,,,,,1,,,,,,,
9602663,9600002,BRN02,1,16.25,0.2121,0.0529,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,0,,,,,,,,,,0,,,,,,,,,,,,0,,,
9602674,9600002,BRN02,1,15.42,0.2988,0.6043,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,,0,0,0,,,,,,,,,,,,,,,,,,0,0
9602684,9600002,BRN02,1,16.25,0.2988,-0.0765,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,
9602736,9600002,BRN02,1,16,-0.1325,0.2656,0,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,
9602759,9600002,BRN02,1,15.67,-1.228,-0.8151,0,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,1,0,,,,1,1,0,,,,
9602763,9600002,BRN02,1,15.67,-1.228,-1.4506,0,,,,,,,,,0,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,0,0,,,,,,0,0,,,,,,,,,,,,
9602802,9600002,BRN02,1,16,1.3705,0.3481,0,,,,,,,,,,,,,,0,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
9602946,9600002,BRN02,1,16.25,0.6017,-0.5469,0,,,,,,,,,,0,,,,,0,,,,,0,,,0,,,0,,1,0,0,0,,,0,1,1,,,,,,,,,,,1,1,,,,,,,,,,
9603019,9600002,BRN02,1,16,1.1004,-0.1563,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603032,9600002,BRN02,1,15.92,0.2988,0.3657,0,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,1,0,1,0,,,,,1,,,,1,1,,,,1,0,,,,,,,,,,,,
9603074,9600002,BRN02,1,16.08,-1.228,0.0196,0,,1,1,0,0,1,,,,,,,,,,,0,0,,,,,,1,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
9603209,9600002,BRN02,1,16.08,-1.228,0.6379,0,,,,,0,0,,,,,,,,,0,,1,0,0,,,,,,,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
9603238,9600002,BRN02,1,15.67,-1.228,-0.147,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,1,1,1,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,
9603289,9600002,BRN02,1,15.42,0.6017,-0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603293,9600002,BRN02,1,16.08,-1.228,-0.5069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603318,9600002,BRN02,1,15.75,-1.228,-0.8539,0,,,,,,,,,,,,,,,0,,,,,,,,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
9603333,9600002,BRN02,1,15.67,0.5869,-0.3234,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,1,,,,,0,0,,,,,,,,
9603342,9600002,BRN02,1,15.83,-1.228,1.2577,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,
9603343,9600002,BRN02,1,15.42,1.9775,-0.3415,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,0,,,,,,,,1,,
9603490,9600002,BRN02,1,15.5,1.5332,0.2806,0,,,,,,,,0,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,0,,,,0,0,,,0,0,,,,,,,,
9603548,9600002,BRN02,1,15.33,-1.228,-1.1833,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,0,1,0,,,,
9603570,9600002,BRN02,1,16.17,-1.228,-1.6534,0,0,,,,,,,,,0,,,1,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
9603603,9600002,BRN02,1,15.83,-1.228,0.2026,0,,,1,0,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,0,0,,,,,,,,
9603683,9600002,BRN02,1,15.75,0.2988,0.8231,0,,,,,,,,,,0,,,,0,0,0,,,,,,,0,,,,,,,,,,,0,1,,,,,,,,,,,,0,0,,,,,,,,,,
9603713,9600002,BRN02,1,15.92,-1.228,0.4529,0,,,,,,,,,,,,,,,,,,,,0,,,1,,0,,,,,,,1,0,,,,,,,,,,0,,,,,,,,,,,,,1,,
9603725,9600002,BRN02,1,16.25,-1.228,0.7093,0,1,,,,,,,,,,0,1,0,,,,,,0,,,,,0,,,,,,,,,,0,1,,1,0,0,,,,,,,,,,,,,,,,,,1,0
9603735,9600002,BRN02,1,16.17,1.5865,-1.5469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603762,9600002,BRN02,1,16,-1.228,-1.1688,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,1,0,0,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,
9603768,9600002,BRN02,1,16.25,-1.228,-1.5876,0,,,0,0,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9603828,9600002,BRN02,1,15.58,0.2988,-1.5901,0,,,1,0,,,,,,,,,,,,,,,,0,,,,,,0,,1,1,0,0,,,,,0,,,,,,,,,,,1,0,,,,,,,,,,
9603876,9600002,BRN02,1,15.92,-1.228,-1.347,0,,,,,,,0,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,1,1,1,0,,,,,,,,,,
9603994,9600002,BRN02,1,15.67,-1.228,0.5524,0,,,,,,,,,,,,,,0,,,,,,,,1,1,,,,,,,,,1,0,,,,,,,,,,,,,,1,1,,,,,,,,,1,0
9604054,9600002,BRN02,1,15.5,-0.4588,1.433,0,,,,,,,,1,,,,,,,,,,,,,,,,,0,,,1,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,1,1,0,,,,
9604286,9600002,BRN02,1,15.83,-1.228,-1.5896,0,,1,,,,,,,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
9604318,9600002,BRN02,1,15.58,0.2289,1.0088,0,,,,,,,,0,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,
