score,school,gender,age,bullied,escs,skip_sch
71,AF,F,15.58,-1.228,0.0228,0
35,AG,F,15.75,2.0064,-0.161,1
82,AG,F,15.92,-1.228,-1.3128,0
54,AG,F,15.58,-1.228,0.0605,0
39,AG,F,16,-0.267,1.1386,0
46,AG,F,15.75,-1.228,-0.3407,0
40,AG,F,16,0.379,-0.187,0
72,AG,F,15.92,-1.228,0.204,0
46,AG,F,16,1.7384,0.0179,0
68,AG,F,15.58,0.1902,0.3555,0
56,AG,F,15.92,-1.228,0.3625,0
58,AG,F,16.25,0.7726,-0.8345,0
65,AG,F,16.17,-1.228,0.573,0
88,AG,F,16.17,-1.228,-0.4608,0
71,AG,F,15.75,0.2988,-0.2895,1
61,AG,F,15.42,-1.228,-1.1315,0
56,AG,F,16.08,1.1431,0.0686,0
54,AG,F,15.5,-1.228,-1.8458,0
57,AG,F,15.92,2.3374,-0.821,0
61,AG,F,15.75,0.1361,0.8777,1
37,AG,F,16.17,0.2121,0.4757,0
79,AG,F,15.5,-1.228,0.7536,0
66,AG,F,16.17,-1.228,-0.6659,0
68,AG,F,16.17,-1.228,-0.2144,0
52,AG,F,15.67,-1.228,0.3519,0
38,AG,F,15.67,0.7179,-1.6239,0
68,AG,F,15.42,-1.228,0.8149,0
33,AG,F,16.25,1.3982,-0.0721,0
18,AG,F,15.42,1.1763,-1.3407,0
64,AG,F,16.25,0.2988,1.2198,0
48,AG,F,15.83,-1.228,-0.2373,0
91,AG,F,15.92,-0.267,0.4678,0
52,AG,F,15.67,0.5399,-1.0492,0
62,AG,F,16.17,-0.267,0.4978,0
